time,close
2023-02-16,22048.67
2023-02-17,22973.79
2023-02-18,23027.65
2023-02-19,22712.62
2023-02-20,23242.41
2023-02-21,22962.47
2023-02-22,22808.32
2023-02-23,22592.55
2023-02-24,21988.63
2023-02-25,21996.77
2023-02-26,22324.14
2023-02-27,22147.19
2023-02-28,21878.23
2023-03-01,22155.31
2023-03-02,22141.28
2023-03-03,21012.13
2023-03-04,21030.73
2023-03-05,21111.6
2023-03-06,20973.23
2023-03-07,21033.8
2023-03-08,20567.88
2023-03-09,19239.6
2023-03-10,18973.47
2023-03-11,19251.87
2023-03-12,20638.47
2023-03-13,22273.3
2023-03-14,22992.35
2023-03-15,23004.51
2023-03-16,23599.11
2023-03-17,25677.82
2023-03-18,25249.93
2023-03-19,26263.76
2023-03-20,25927.76
2023-03-21,26160.57
2023-03-22,25143.74
2023-03-23,26153.32
2023-03-24,25576.77
2023-03-25,25568.06
2023-03-26,25980.94
2023-03-27,25122.64
2023-03-28,25171.92
2023-03-29,26147.73
2023-03-30,25728.72
2023-03-31,26260.54
2023-04-01,26260.25
2023-04-02,26092.86
2023-04-03,25508.25
2023-04-04,25720.78
2023-04-05,25838.79
2023-04-06,25707.67
2023-04-07,25618.37
2023-04-08,25674.79
2023-04-09,25975.61
2023-04-10,27268.38
2023-04-11,27678.39
2023-04-12,27200.96
2023-04-13,27527.58
2023-04-14,27717.21
2023-04-15,27583.83
2023-04-16,27615.96
2023-04-17,26951.11
2023-04-18,27692.52
2023-04-19,26319.31
2023-04-20,25767.2
2023-04-21,24795.07
2023-04-22,25376.95
2023-04-23,25109.06
2023-04-24,24889.34
2023-04-25,25796.55
2023-04-26,25751.0
2023-04-27,26738.6
2023-04-28,26608.11
2023-04-29,26543.59
2023-04-30,26537.65
2023-05-01,25593.34
2023-05-02,26046.28
2023-05-03,26228.85
2023-05-04,26183.28
2023-05-05,26793.83
2023-05-06,26241.13
2023-05-07,25839.72
2023-05-08,25188.42
2023-05-09,25217.41
2023-05-10,25151.29
2023-05-11,24732.48
2023-05-12,24705.09
2023-05-13,24693.56
2023-05-14,24816.56
2023-05-15,24987.07
2023-05-16,24891.63
